invoice_number,invoice_date,product1_name,product1_price,product2_name,product2_price,product3_name,product3_price,product4_name,product4_price,pos_number,dept_location,pincode
INV-100001,2026-01-02,Power Bank,58916,Face Wash,27635,Notebook,78905,Tablet,26319,POS-13,Personal Care,463803
INV-100002,2026-01-03,Monitor,25508,Laptop,41929,Headphones,13971,USB Cable,42416,POS-11,Accessories,462484
INV-100003,2026-01-04,Soap,10585,Mouse,10498,Body Lotion,41090,Shampoo,62498,POS-18,Accessories,460824
INV-100004,2026-01-05,Laptop,46500,Body Lotion,27970,Monitor,17412,Desk Lamp,2371,POS-05,Office,468805
INV-100005,2026-01-06,Shampoo,30809,Notebook,5773,Backpack,68572,Water Bottle,14388,POS-08,Stationery,460032
INV-100006,2026-01-07,Laptop,51298,Headphones,17558,Shampoo,58368,Power Bank,65513,POS-06,Office,464590
INV-100007,2026-01-08,Mouse,39700,Water Bottle,53305,Body Lotion,28993,Office Chair,67202,POS-09,Personal Care,467833
INV-100008,2026-01-09,Monitor,33130,Laptop,72839,Backpack,38251,Shampoo,35925,POS-13,Personal Care,463514
INV-100009,2026-01-10,Tablet,12635,Face Wash,59239,Office Chair,66152,Water Bottle,53726,POS-07,Home,467205
INV-100010,2026-01-11,Headphones,31362,Soap,16242,Laptop,6177,USB Cable,56774,POS-19,Electronics,466902
INV-100011,2026-01-12,Shampoo,35841,Headphones,67634,Backpack,42554,Water Bottle,64145,POS-06,Electronics,465045
INV-100012,2026-01-13,Backpack,14110,Water Bottle,10021,Headphones,64169,Body Lotion,9779,POS-11,Electronics,465691
INV-100013,2026-01-14,Shampoo,32090,Office Chair,19759,Headphones,6497,Body Lotion,11566,POS-11,Personal Care,465706
INV-100014,2026-01-15,Power Bank,59138,Desk Lamp,13191,Shampoo,59126,USB Cable,59921,POS-19,Stationery,462470
INV-100015,2026-01-16,Shampoo,34345,Laptop,15881,Charger,4674,Soap,12985,POS-03,Office,463988
INV-100016,2026-01-17,Notebook,13608,Power Bank,39234,Soap,10977,Face Wash,29628,POS-19,Electronics,467908
INV-100017,2026-01-18,Notebook,51180,Backpack,24487,Keyboard,67622,Power Bank,37597,POS-11,Stationery,468833
INV-100018,2026-01-19,Monitor,20802,Water Bottle,60591,Keyboard,21782,Power Bank,66684,POS-08,Electronics,461450
INV-100019,2026-01-20,Backpack,51142,USB Cable,68632,Notebook,40079,Soap,21433,POS-03,Personal Care,462800
INV-100020,2026-01-21,Laptop,69455,Mouse,11964,Tablet,31228,Pen Set,1532,POS-02,Electronics,464170
